273.png,19.81,0.920
274.png,20.63,0.927
275.png,20.34,0.909
276.png,19.84,0.920
277.png,21.39,0.929
278.png,23.78,0.934
279.png,21.76,0.931
280.png,23.62,0.926
281.png,20.05,0.914
282.png,22.99,0.938
283.png,21.41,0.927
284.png,21.07,0.919
285.png,24.28,0.947
286.png,24.66,0.934
287.png,23.93,0.948
288.png,27.53,0.968
289.png,27.69,0.971
290.png,22.50,0.950
291.png,21.18,0.933
292.png,23.95,0.940
293.png,24.08,0.940
294.png,25.74,0.952
295.png,26.49,0.961
296.png,23.45,0.950
297.png,25.91,0.960
298.png,22.93,0.954
299.png,24.56,0.959
300.png,25.98,0.969
301.png,23.63,0.943
302.png,23.70,0.927
303.png,25.21,0.958
304.png,24.02,0.958
305.png,24.20,0.942
306.png,22.64,0.929
307.png,22.70,0.939
308.png,25.42,0.970
309.png,22.89,0.949
310.png,22.80,0.944
311.png,23.76,0.952
312.png,26.97,0.963
313.png,23.74,0.960
314.png,24.58,0.953
315.png,27.89,0.962
316.png,27.14,0.961
317.png,25.68,0.958
318.png,25.41,0.967
319.png,25.49,0.951
320.png,24.78,0.942
321.png,21.11,0.921
322.png,20.53,0.919
323.png,20.36,0.915
324.png,21.58,0.924
325.png,19.91,0.935
326.png,21.15,0.926
327.png,19.70,0.912
328.png,20.57,0.931
329.png,20.96,0.922
330.png,21.18,0.917
331.png,20.59,0.921
332.png,22.59,0.931
333.png,22.84,0.935
334.png,22.33,0.941
335.png,22.12,0.941
336.png,22.12,0.932
337.png,23.26,0.939
338.png,20.99,0.934
339.png,22.42,0.946
340.png,22.65,0.935
